_id,usernameTweet,ID,text,url,nbr_retweet,nbr_favorite,nbr_reply,datetime,is_reply,is_retweet,user_id
ObjectId(5ea090a1726bec3ad8e15525),JoePino89,1253031472363012096,"No, por favor! Tengo familiares en esa alcaldía!
Es un grave riesgo porque no sabemos si esa gente va a surtirse de alimentos al mismo lugar que nosotros!",/JoePino89/status/1253031472363012096,0,0,0,2020-04-22 18:42:37,true,false,3118789741
ObjectId(5ea090a1726bec3ad8e15526),SaraBernardItu1,1253027554581270533,Más evidencias de que sigues escupiendo veneno... pic.twitter.com/Lp7cAXgnPQ,/SaraBernardItu1/status/1253027554581270533,0,0,0,2020-04-22 18:27:03,true,false,1219979033754132480
ObjectId(5ea090a1726bec3ad8e15527),pamlebeque,1253027155237199873,"Se plantean dudas razonables, si te sientes muy sensible a estos contenidos, consulta solo fuentes oficiales.",/pamlebeque/status/1253027155237199873,0,0,0,2020-04-22 18:25:28,true,false,3420798063
ObjectId(5ea090a1726bec3ad8e15528),chris34415719,1253025568406282242,Si claro!!!,/chris34415719/status/1253025568406282242,0,0,0,2020-04-22 18:19:10,true,false,1190638253315166209
ObjectId(5ea090a1726bec3ad8e15529),yaelflakes,1253024426909728771,@ covidmx  podrían decirme dónde encuentro en diario oficial la fase 3? Gracias,/yaelflakes/status/1253024426909728771,0,0,0,2020-04-22 18:14:38,false,false,187575866
ObjectId(5ea090a1726bec3ad8e1552a),YairFernndez11,1253023809587703809,"Hola a todos, pido su apoyo para poder contestar este cuestionario referente a lo que estamos viviendo en #Mexicocovid19  #covid_19mexico  @HLGatell   @uaemex  @covidmx  @OldwaysCheese  

 https://www. survio.com/survey/d/R7V7R 4A9J5A9J4O4K   …",/YairFernndez11/status/1253023809587703809,0,0,0,2020-04-22 18:12:10,false,false,1250035740324569088
ObjectId(5ea090a1726bec3ad8e1552b),alanezra,1253022074810986496,Ese factor cambia... no es fijo,/alanezra/status/1253022074810986496,0,1,0,2020-04-22 18:05:17,true,false,153645654
ObjectId(5ea090a1726bec3ad8e1552c),pbcspotter,1253016604184584195,En qué semestre de epidemiología les dan estadística? Y cuál fue su calificación? Porque con eso de que el KKs se tardó 14 años en sacar su licenciatura y reprobó economia pues no sorprende...,/pbcspotter/status/1253016604184584195,0,0,0,2020-04-22 17:43:33,true,false,1220183304021786624
ObjectId(5ea090a1726bec3ad8e1552d),PatoPachcoT,1253015151684382720,El doctor bateles epidemiologo y vaya que sabe de estadística,/PatoPachcoT/status/1253015151684382720,0,0,1,2020-04-22 17:37:46,true,false,100369836
ObjectId(5ea090a1726bec3ad8e1552e),lato,1253009752478617602,https:// twitter.com/MetroCDMX/stat us/1252998827860283394?s=19   …,/lato/status/1253009752478617602,0,1,0,2020-04-22 17:16:19,true,false,178138895
ObjectId(5ea090a1726bec3ad8e1552f),lato,1253007209669279744,Villa de Cortés no se cierra,/lato/status/1253007209669279744,0,1,0,2020-04-22 17:06:13,true,false,178138895
ObjectId(5ea090a1726bec3ad8e15530),xaz24,1253004323145027584,Ahora resulta que hustedes revisan con veracidad las estadísticas? Y de donde sacan toda esa informacion oficial? Para mi ustedes son unos putitos mentirosos que solo quieren desinformar y hay alguien detrás de hustedes con fines malévolos.,/xaz24/status/1253004323145027584,0,0,0,2020-04-22 16:54:44,true,false,144654225
ObjectId(5ea090a1726bec3ad8e15531),kainne616,1253003845673775104,Esto que está desmintiendo o cómo? Ya me perdí.,/kainne616/status/1253003845673775104,0,0,0,2020-04-22 16:52:51,true,false,101377116
ObjectId(5ea090a1726bec3ad8e15532),kainne616,1253002820350914561,"Ahh caray tienen un chingo de trabajo más, diario a 10mil fakes de medios no oficiales, esas no las van a combatir?   O sólo se van dedicar a ""corregir"" los errores del gobierno? Cambien su nombre entonces.",/kainne616/status/1253002820350914561,0,0,0,2020-04-22 16:48:46,true,false,101377116
ObjectId(5ea090a1726bec3ad8e15533),jccharc,1253000677267312641,pic.twitter.com/kXpSsrAiJI,/jccharc/status/1253000677267312641,0,0,0,2020-04-22 16:40:15,true,false,158957682
ObjectId(5ea090a1726bec3ad8e15534),TUVEZ,1253000557603680262,"Quieres sangre hdspm,ojalá completes los que quieres,con tu familiares y amigos,ahí nos avisas cuanto cuentas cabron.",/TUVEZ/status/1253000557603680262,0,0,0,2020-04-22 16:39:47,true,false,114608128
ObjectId(5ea090a1726bec3ad8e15535),Nandagenba,1252998985834512386,Me parece excelente porque esos ataques suelen bloquear a la persona. Y generalmente no se recurre a ayuda profesional porque tan solo pensar en hacerlo es difícil para algunes.,/Nandagenba/status/1252998985834512386,0,0,0,2020-04-22 16:33:32,true,false,318728567
ObjectId(5ea090a1726bec3ad8e15536),BernalLedezmaa,1252998765939617792,"Borolista , fifi o  del prian?  , si soy AMLOVER AL 100% ,y a ti que te importa ? relajate tú pobre bot reprimido y sabes que? tragate tú veneno  , deja de estar chingando, yo digo lo que quiero ,puedo y lo que me da mi chingada gana en contra quien hable mal de AMLO ,",/BernalLedezmaa/status/1252998765939617792,0,0,1,2020-04-22 16:32:40,true,false,1239442633451339776
ObjectId(5ea090a1726bec3ad8e15537),Mary55081681,1252998705818427395,pic.twitter.com/za4dmnPJOW,/Mary55081681/status/1252998705818427395,0,0,0,2020-04-22 16:32:25,true,false,1247246134424276996
ObjectId(5ea090a1726bec3ad8e15538),Mary55081681,1252998493595004928,Estás son las cuentas que siguen a @covidmx   pic.twitter.com/zkSwmmdovg,/Mary55081681/status/1252998493595004928,0,0,1,2020-04-22 16:31:35,true,false,1247246134424276996
ObjectId(5ea090a2726bec3ad8e15539),elmiguelon1241,1252995803729330176,La única inconsistencia es que se equivocaron de hojas ayer tomaron las de hoy y hoy las de ayer ya mejor me río amigo buen dia,/elmiguelon1241/status/1252995803729330176,0,0,0,2020-04-22 16:20:53,true,false,818368603
ObjectId(5ea090a2726bec3ad8e1553a),de_josera,1252994519051587584,"Sr. AMLO el Sr. Gatell no solo, no le hizo ver a tiempo la gravedad de la crisis sanitaria que vendría sino que a negado el importante papel que pueden tener las mascarillas en su control con este enlace se dara cuenta del tamaño del error del DR. Gatell https:// youtu.be/gYpE4ZmxH9s  ",/de_josera/status/1252994519051587584,0,0,0,2020-04-22 16:15:47,true,false,1089109233709199360
ObjectId(5ea090a2726bec3ad8e1553b),IvanABD,1252986142099681280,"Sí ante un posible diagnóstico de Coronavirus en @ISSSTE_mx  no tienen pruebas, qué procede @SSalud_mx  @HLGatell  ? CC @OPSOMSMexico  @covidmx  @lajornadaonline  @Pajaropolitico  @SinEmbargoMX  @contralinea  @Milenio",/IvanABD/status/1252986142099681280,0,0,0,2020-04-22 15:42:30,false,false,115107190
ObjectId(5ea090a2726bec3ad8e1553c),edna_jay,1252985087815061504,Excelente noticia.,/edna_jay/status/1252985087815061504,0,0,0,2020-04-22 15:38:18,true,false,206167589
ObjectId(5ea090a2726bec3ad8e1553d),ingalejandroo,1252984560020869120,Cuál es el porcentaje que representa esta diferencia a nivel poblacional..?? Enfóquense y publiquen mensajes positivos a la gente... #QUÉDATEENCASA  por ejemplo.,/ingalejandroo/status/1252984560020869120,0,0,0,2020-04-22 15:36:13,true,false,300643491
ObjectId(5ea090a2726bec3ad8e1553e),cesarca39633377,1252984085573754880,pic.twitter.com/AAiWGGkaZJ,/cesarca39633377/status/1252984085573754880,0,0,0,2020-04-22 15:34:19,true,false,1246183220330233856
ObjectId(5ea090a2726bec3ad8e1553f),AlfCalderonB,1252982609317109761,"@ covidmx  sugerencia, por qué no añadir el número de recuperados en su informe diario. Pienso que sería aliciente y motivador .
Saludos.",/AlfCalderonB/status/1252982609317109761,0,0,0,2020-04-22 15:28:28,false,false,100072827
ObjectId(5ea090a2726bec3ad8e15540),monitwitt,1252980454522785793,Al. Coyoacán,/monitwitt/status/1252980454522785793,1,0,1,2020-04-22 15:19:54,true,false,66194024
ObjectId(5ea090a2726bec3ad8e15541),ElisaFl34661113,1252979700688916482,Y entonces???,/ElisaFl34661113/status/1252979700688916482,0,0,0,2020-04-22 15:16:54,true,false,1248383000015826946
ObjectId(5ea090a2726bec3ad8e15542),perroblues,1252977037310033921,"‘Cero confiabilidad’ o inconsistencias a revisar? Hagamos nuestro trabajo también, no viene bien un coro catastrofista. Exijamos con responsabilidad.",/perroblues/status/1252977037310033921,0,0,0,2020-04-22 15:06:19,true,false,250389592
ObjectId(5ea090a2726bec3ad8e15543),evamarrrry,1252976422009950211,Decidimos dejar de seguirnos y quedarnos con los datos OFICIALES,/evamarrrry/status/1252976422009950211,0,0,0,2020-04-22 15:03:52,true,false,203785201
ObjectId(5ea090a2726bec3ad8e15544),monitwitt,1252976192006893569,Listo,/monitwitt/status/1252976192006893569,0,0,0,2020-04-22 15:02:58,true,false,66194024
ObjectId(5ea090a2726bec3ad8e15545),arembiam,1252974390125486080,@ covidmx,/arembiam/status/1252974390125486080,0,0,0,2020-04-22 14:55:48,true,false,1270283515
ObjectId(5ea090a2726bec3ad8e15546),solfaig,1252973140331954176,Amarillistas irresponsables!,/solfaig/status/1252973140331954176,0,0,0,2020-04-22 14:50:50,true,false,303606827
ObjectId(5ea090a2726bec3ad8e15547),sg_pero,1252973065878855680,"La información se la dan los Estados la gobierno federal, ésta cuenta quién la respalda?
Tiene apenas un mes de creación, con 194 tweets ya tiene más de 50,000 seguidores y ya está certificada por Twitter?
Ta' raro, no?",/sg_pero/status/1252973065878855680,0,1,0,2020-04-22 14:50:32,true,false,1077257187364388865
ObjectId(5ea090a2726bec3ad8e15548),f66347a9eaa246f,1252972827826728963,"MENOS CRÍTICA Y MÁS AYUDA. DE ANTEMANO YA SABEMOS QUE HAY FALLAS EN EL GOBIERNO Y EN EL SISTEMA DE SALUD PERO NO VAN A NEGAR QUE SE ESTÁ REALMENTE TRATANDO, TAL VEZ NO ALCANZARÁ EL ESFUERZO PERO NINGÚN PAÍS ESTÁ PUDIENDO CON ESTO, ASÍ QUE MEJOR APORTEN A LAS FAMILIAS AFECTADAS",/f66347a9eaa246f/status/1252972827826728963,0,0,0,2020-04-22 14:49:35,true,false,2733285075
